Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
Geographic Information Systems (GIS) & Spatial Analysis,Bachelors,54000,86700,57
Marketing & Mass Communications,Bachelors,45400,86700,41
Welding Technology,Bachelors,48400,86700,
General Business,Bachelors,50200,86600,51
Construction Engineering Technology,Bachelors,55800,86400,53
Architectural Studies,Bachelors,45400,86400,42
Aviation Maintenance Technology,Bachelors,51000,86300,60
Communication Studies & Journalism,Bachelors,44800,86200,47
Management,Bachelors,51600,86200,48
General Science,Bachelors,49100,86100,60
Magazine Journalism,Bachelors,46800,86100,32
Electronics & Computer Technology,Bachelors,55600,86000,
Theatre & Drama Studies,Bachelors,44800,86000,49
Animation,Bachelors,45000,85900,35
Biology & Chemistry,Bachelors,49200,85900,66
Diagnostic Medical Ultrasound,Bachelors,67700,85900,67
History & Politics,Bachelors,49500,85900,51
Public Affairs,Bachelors,52700,85900,50
Romance Languages,Bachelors,53000,85900,53
Physiology,Bachelors,49300,85900,63
Corporate Communications,Bachelors,48500,85700,42
International Affairs,Bachelors,51600,85700,52
Nursing Science,Bachelors,66800,85700,84
Organizational Development,Bachelors,53800,85700,54
Textile & Apparel Studies,Bachelors,47100,85700,30
Business Administration,Bachelors,52800,85600,50
Business Administration & Accounting,Bachelors,52400,85600,55
Philosophy & Religion,Bachelors,43800,85600,55
Architectural Design,Bachelors,47700,85400,60
Textile Design,Bachelors,50000,85200,43
Interpersonal & Organizational Communication,Bachelors,42400,85200,56
Geographic Information Systems (GIS),Bachelors,50000,85100,52
Business Management,Bachelors,51700,85000,51
Linguistics,Bachelors,52100,84900,43
French Language,Bachelors,49600,84800,47
Communication,Bachelors,48000,84700,45
Neuroscience,Bachelors,51800,84700,58
Business Management & Human Resources Management (HRM),Bachelors,46800,84600,57
Journalism & Mass Communication,Bachelors,46300,84600,44
Accounting & Management,Bachelors,55500,84500,52
Sociology & Organizational Studies,Bachelors,53500,84300,57
Crop Science,Bachelors,48700,84200,60
French Studies,Bachelors,52400,84200,57
Writing,Bachelors,44200,84200,42
Nursing,Bachelors,65000,84200,83
History,Bachelors,47800,84100,46
Biology,Bachelors,47100,84000,65
Land Surveying,Bachelors,51900,84000,54
Architectural Technology,Bachelors,46700,83900,61
Health Care,Bachelors,44400,83900,74
Integrated Marketing Communications,Bachelors,47000,83900,36
Agriculture,Bachelors,47700,83800,61
Digital Design,Bachelors,50000,83600,40
Marketing & Advertising,Bachelors,49300,83600,44
Organizational Communication,Bachelors,46400,83600,49
Visual Effects & Motion Graphics,Bachelors,48100,83400,38
Public Relations & Communication,Bachelors,45700,83300,47
General & Strategic Management,Bachelors,51200,83300,55
Foreign Languages,Bachelors,48400,83100,52
Retail Merchandising,Bachelors,50900,83100,31
Agribusiness Management,Bachelors,47700,83000,46
Global Business,Bachelors,55800,83000,31
Professional & Technical Writing,Bachelors,48500,83000,44
Computer Art,Bachelors,40400,82900,31
Environmental Management,Bachelors,50200,82900,62
Environmental Studies,Bachelors,48500,82900,59
Journalism,Bachelors,45900,82900,44
Travel Industry Management,Bachelors,52600,82900,
International Development Studies,Bachelors,47700,82800,64
Natural Sciences,Bachelors,45100,82800,55
Retail & Consumer Science,Bachelors,51800,82800,32
Literature,Bachelors,46800,82800,47
Bachelor in Science Nursing,Bachelors,64000,82700,81
History & Political Science,Bachelors,50600,82700,50
Museum Studies,Bachelors,38900,82700,50
Computer Information Management,Bachelors,49400,82600,
Dental Hygiene,Bachelors,72700,82600,80
Law,Bachelors,54300,82600,53
Network Technology,Bachelors,59800,82600,57
Media Studies,Bachelors,50700,82400,38
Environmental Geography,Bachelors,50200,82300,52
Law Enforcement,Bachelors,46700,82200,60
Nuclear Medicine,Bachelors,60300,81900,81
Bachelor of Science in Nursing,Bachelors,63800,81900,83
Computer Animation,Bachelors,46800,81800,36
Landscape Architecture,Bachelors,51500,81800,65
Publishing,Bachelors,46300,81800,39
Interior Architecture,Bachelors,47600,81500,45
Diagnostic Medical Sonography,Bachelors,64300,81400,86
Environmental & Natural Resource Economics,Bachelors,52400,81400,65
Public Relations (PR),Bachelors,45600,81400,42
Workforce Education & Development,Bachelors,59900,81400,80
American History (United States),Bachelors,50900,81300,52
Drama,Bachelors,47400,81100,47
Management (MGT),Bachelors,47000,81000,62
Merchandising Management,Bachelors,46800,80900,38
Environmental Biology,Bachelors,45000,80800,70
Accounting & Business,Bachelors,52400,80700,48
Automotive Technology & Service Management,Bachelors,48800,80500,32
Speech Communication,Bachelors,46700,80500,54
Allied Health,Bachelors,44800,80400,78
Agricultural Systems Technology,Bachelors,60500,80300,
Emergency Management,Bachelors,50900,80300,80
Network Administration,Bachelors,48700,80300,56
Communication Management,Bachelors,46000,80200,38
Historic Preservation,Bachelors,43400,80000,
Broadcast Journalism,Bachelors,42900,79900,50
Broadcast & Cinematic Arts,Bachelors,42800,79900,43
Automotive Technology,Bachelors,48100,79800,47
Business Management & Administration,Bachelors,51400,79800,53
Agricultural Business,Bachelors,52700,79700,51
Technology Management,Bachelors,56400,79700,47
Global Studies,Bachelors,51200,79600,46
Professional Studies,Bachelors,42800,79600,62
Interpersonal Communications,Bachelors,45000,79500,53
Forestry,Bachelors,45900,79400,67
Homeland Security,Bachelors,49200,79400,72
Ancient History,Bachelors,46000,79300,
Botany,Bachelors,42600,79300,73
Geography,Bachelors,49700,79300,52
Computer Aided Design (CAD),Bachelors,48700,79200,
Nutrition Science,Bachelors,49500,79200,70
Acting,Bachelors,44200,79100,50
Public Management,Bachelors,50200,79100,66
Nuclear Medicine Technology,Bachelors,61700,79000,82
Apparel & Textile Manufacture,Bachelors,48300,78900,37
English Language & Literature,Bachelors,46400,78900,44
Urban Studies,Bachelors,51500,78900,57
Mass Communication,Bachelors,44800,78800,44
Forestry Management,Bachelors,48600,78700,71
Radio/Television & Film Production,Bachelors,45700,78700,39
Hospital Management,Bachelors,53200,78600,45
Human Resources Management (HRM),Bachelors,47900,78500,55
Marine Science,Bachelors,46100,78400,64
American Sign Language Interpreting,Bachelors,43100,78300,87
English & History,Bachelors,45700,78300,49
English Language,Bachelors,44600,78300,45
Cytotechnology,Bachelors,61900,78200,89
Geosciences,Bachelors,48700,78200,62
Hospital Administration,Bachelors,51200,78200,57
Film Production,Bachelors,44600,78100,33
Marine Biology,Bachelors,43300,78100,66
Zoology,Bachelors,42100,77900,67
Communication Design,Bachelors,51700,77800,34
Leadership,Bachelors,47200,77500,57
Music Technology,Bachelors,44800,77500,39
Musicology,Bachelors,40000,77500,
Technical Writing,Bachelors,53300,77500,42
Agricultural Communication,Bachelors,44600,77400,52
Logistics Management,Bachelors,56300,77400,49
German Language & Literature,Bachelors,49400,77300,47
Administration,Bachelors,44600,77100,58
Apparel Merchandising,Bachelors,47600,77100,35
Computer Aided Drafting & Design (CADD),Bachelors,49100,77100,52
Organizational Leadership & Supervision,Bachelors,49600,77100,51
Printing Technology,Bachelors,46200,77100,
Spanish Language,Bachelors,47700,77100,51
Multimedia,Bachelors,44700,77000,45
Spanish Language Teacher Education,Bachelors,45500,76900,73
Public Administration,Bachelors,46700,76900,57
Human Nutrition,Bachelors,48600,76900,85
Audio Engineering,Bachelors,48300,76800,39
Graphics Technology & Management,Bachelors,39500,76800,38
Physical Anthropology,Bachelors,52900,76800,51
Organizational Leadership,Bachelors,50500,76700,58
Environmental Health Science,Bachelors,53800,76600,61
Health Sciences,Bachelors,44600,76600,70
Journalism & Electronic Media,Bachelors,45200,76500,48
Religious Studies,Bachelors,43900,76300,55
Art History,Bachelors,46600,76200,45
Radiologic Science,Bachelors,57600,76200,81
3D Animation,Bachelors,51800,76000,42
Culture Studies,Bachelors,48100,75900,40
Merchandising,Bachelors,53100,75900,31
Administrative Management,Bachelors,52700,75800,50
Human Resources (HR),Bachelors,47300,75800,56
Liberal Arts,Bachelors,44500,75800,53
Adult Education & Training,Bachelors,48700,75600,79
Fashion Merchandising,Bachelors,46900,75600,29
Health & Fitness,Bachelors,39800,75600,67
Natural Resources,Bachelors,47400,75500,64
Organizational Management,Bachelors,48800,75500,57
Modern Languages,Bachelors,50300,75400,53
Natural Resource Management,Bachelors,46500,75400,60
Retail Management,Bachelors,50100,75400,35
Sociology & Anthropology,Bachelors,44500,75400,50
Creative Writing,Bachelors,45300,75200,41
Criminal Justice Administration,Bachelors,45700,75100,56
Ethnic Studies,Bachelors,47500,74900,63
Philosophy & Religious Studies,Bachelors,49300,74900,61
Radiology,Bachelors,54800,74900,80
Medical Laboratory Technology,Bachelors,56900,74400,82
Sports Management,Bachelors,45400,74400,43
Anthropology & English,Bachelors,48000,74300,
Broadcast Communication,Bachelors,40000,74300,44
Criminology,Bachelors,44700,74300,54
Earth Science,Bachelors,50000,74300,48
Media & Technology,Bachelors,45200,74300,43
Visual Communications,Bachelors,45400,74300,38
Advertising & Graphic Design,Bachelors,46800,74200,37
Applied Behavior Analysis,Bachelors,38700,74200,81
Psychology,Bachelors,44700,74200,56
Applied Management,Bachelors,45500,74100,53
Hotel & Restaurant Management,Bachelors,47300,74100,48
Anthropology,Bachelors,46400,73900,46
Arts Management,Bachelors,39400,73800,48
Diagnostic Medical Imaging,Bachelors,60600,73800,73
Communication Arts,Bachelors,42400,73600,39
Middle Eastern Studies,Bachelors,57100,73600,48
Radiologic Technology,Bachelors,55200,73600,83
Painting & Printmaking,Bachelors,34700,73600,41
Cardiopulmonary Science,Bachelors,48900,73400,90
Human Relations,Bachelors,45000,73400,63
Humanities,Bachelors,48500,73200,49
Health Care Administration,Bachelors,45800,73100,69
Health Care Management,Bachelors,46700,73000,72
Life Sciences,Bachelors,53100,73000,64
Ecology,Bachelors,46400,72900,57
Media Arts,Bachelors,46500,72900,34
Respiratory Care,Bachelors,54800,72800,84
Art & Design,Bachelors,45100,72700,38
Health Information Management,Bachelors,49000,72700,69
Hospitality Management,Bachelors,46400,72700,43
Health Teacher Education,Bachelors,37900,72600,46
Sports Medicine,Bachelors,50100,72600,77
Multimedia & Web Design,Bachelors,50200,72600,34
Sociology,Bachelors,46200,72500,55
Liberal Studies,Bachelors,44300,72400,56
Interior Design,Bachelors,45100,72300,50
Medical Laboratory Science,Bachelors,55600,72300,85
Secondary Education,Bachelors,44600,72300,59
Child Psychology,Bachelors,38900,72200,64
